index,model,suffix,train_mcc,val_mcc,test_mcc,train_auroc,val_auroc,test_auroc,train_f1,val_f1,test_f1,train_id,val_id,test_id,embedding,strategy
0,KNN,,0.5188163242209722,0.44916413992201853,0.4864571006919694,0.7678450844091361,0.7189797794117647,0.717663520856314,0.7662162162162162,0.7021739130434783,0.7393258426966293,part_0,part_1,part_2,onehot,CV
1,LogReg,,0.8788356123562308,0.43948935459077193,0.597723723034494,0.9351539225422046,0.7206265318627452,0.7999039915022266,0.9445945945945946,0.7217391304347827,0.8000000000000002,part_0,part_1,part_2,onehot,CV
2,RandomForest,,1.0,0.5178513537667128,0.5773598425269357,1.0,0.7512637867647058,0.7894043387670058,1.0,0.7630434782608696,0.7820224719101123,part_0,part_1,part_2,onehot,CV
3,MLP,,0.9854694807379308,0.41347281214884074,0.4581572800609572,0.9947368421052631,0.7008655024509804,0.7275809944029088,0.9932432432432432,0.7130434782608696,0.7168539325842697,part_0,part_1,part_2,onehot,CV
4,KNN,,0.5188163242209722,0.4864571006919694,0.44916413992201853,0.7678450844091361,0.717663520856314,0.7189797794117647,0.7662162162162162,0.7393258426966293,0.7021739130434783,part_0,part_2,part_1,onehot,CV
5,LogReg,,0.8788356123562308,0.597723723034494,0.43948935459077193,0.9351539225422046,0.7999039915022266,0.7206265318627452,0.9445945945945946,0.8000000000000002,0.7217391304347827,part_0,part_2,part_1,onehot,CV
6,RandomForest,,1.0,0.5773598425269357,0.5178513537667128,1.0,0.7894043387670058,0.7512637867647058,1.0,0.7820224719101123,0.7630434782608696,part_0,part_2,part_1,onehot,CV
7,MLP,,0.9854694807379308,0.4581572800609572,0.41347281214884074,0.9947368421052631,0.7275809944029088,0.7008655024509804,0.9932432432432432,0.7168539325842697,0.7130434782608696,part_0,part_2,part_1,onehot,CV
8,KNN,,0.5341770160762961,0.3910480323816025,0.5110731183051577,0.766812193627451,0.6894141012909633,0.7292662499489316,0.7565217391304349,0.6216216216216216,0.750561797752809,part_1,part_0,part_2,onehot,CV
9,LogReg,,0.9300670167765395,0.46248990360792086,0.5906450632176622,0.9662607230392157,0.7408738828202582,0.7882706213996814,0.9652173913043478,0.7283783783783784,0.797752808988764,part_1,part_0,part_2,onehot,CV
10,RandomForest,,1.0,0.45672968055749236,0.5663977456592553,1.0,0.7381132075471697,0.7795481472402664,1.0,0.7216216216216216,0.7865168539325842,part_1,part_0,part_2,onehot,CV
11,MLP,,1.0,0.4382663999693007,0.5709859625228526,1.0,0.7284607745779543,0.7820607100543367,1.0,0.7135135135135136,0.7887640449438202,part_1,part_0,part_2,onehot,CV
12,KNN,,0.5341770160762961,0.5110731183051577,0.3910480323816025,0.766812193627451,0.7292662499489316,0.6894141012909633,0.7565217391304349,0.750561797752809,0.6216216216216216,part_1,part_2,part_0,onehot,CV
13,LogReg,,0.9300670167765395,0.5906450632176622,0.46248990360792086,0.9662607230392157,0.7882706213996814,0.7408738828202582,0.9652173913043478,0.797752808988764,0.7283783783783784,part_1,part_2,part_0,onehot,CV
14,RandomForest,,1.0,0.5663977456592553,0.45672968055749236,1.0,0.7795481472402664,0.7381132075471697,1.0,0.7865168539325842,0.7216216216216216,part_1,part_2,part_0,onehot,CV
15,MLP,,1.0,0.5709859625228526,0.4382663999693007,1.0,0.7820607100543367,0.7284607745779543,1.0,0.7887640449438202,0.7135135135135136,part_1,part_2,part_0,onehot,CV
16,KNN,,0.5154834894067313,0.4068264314338082,0.48261443304355117,0.7357315030436735,0.6931479642502483,0.7370557598039216,0.755056179775281,0.6189189189189189,0.7217391304347827,part_2,part_0,part_1,onehot,CV
17,LogReg,,0.9007852131909709,0.5230894933996773,0.5241355196525754,0.9471238305347877,0.7719761668321748,0.7637484681372548,0.9505617977528091,0.7608108108108107,0.7608695652173914,part_2,part_0,part_1,onehot,CV
18,RandomForest,,1.0,0.48501949472300837,0.5457622527285686,1.0,0.751837140019861,0.7745481004901961,1.0,0.7445945945945945,0.7695652173913043,part_2,part_0,part_1,onehot,CV
19,MLP,,0.9730146954241576,0.46375615510300733,0.5153834382295979,0.9849246231155778,0.7409136047666336,0.759344362745098,0.9865168539325843,0.7337837837837838,0.7565217391304349,part_2,part_0,part_1,onehot,CV
20,KNN,,0.5154834894067313,0.48261443304355117,0.4068264314338082,0.7357315030436735,0.7370557598039216,0.6931479642502483,0.755056179775281,0.7217391304347827,0.6189189189189189,part_2,part_1,part_0,onehot,CV
21,LogReg,,0.9007852131909709,0.5241355196525754,0.5230894933996773,0.9471238305347877,0.7637484681372548,0.7719761668321748,0.9505617977528091,0.7608695652173914,0.7608108108108107,part_2,part_1,part_0,onehot,CV
22,RandomForest,,1.0,0.5457622527285686,0.48501949472300837,1.0,0.7745481004901961,0.751837140019861,1.0,0.7695652173913043,0.7445945945945945,part_2,part_1,part_0,onehot,CV
23,MLP,,0.9730146954241576,0.5153834382295979,0.46375615510300733,0.9849246231155778,0.759344362745098,0.7409136047666336,0.9865168539325843,0.7565217391304349,0.7337837837837838,part_2,part_1,part_0,onehot,CV
